Date,Close
3/9/16,9.87
3/10/16,10
3/11/16,10.28
3/14/16,10.26
3/15/16,10.22
3/16/16,10.27
3/17/16,10.27
3/18/16,10.37
3/21/16,10.48
3/22/16,10.41
3/23/16,10.29
3/24/16,10.24
3/28/16,10.19
3/29/16,10.31
3/30/16,10.32
3/31/16,10.31
4/1/16,9.94
4/4/16,9.62
4/5/16,10.88
4/6/16,10.91
4/7/16,10.69
4/8/16,10.52
4/11/16,10.69
4/12/16,10.66
4/13/16,10.78
4/14/16,10.46
4/15/16,10.18
4/18/16,9.9
4/19/16,9.8
4/20/16,9.88
4/21/16,9.81
4/22/16,10.18
4/25/16,9.95
4/26/16,9.96
4/27/16,10.38
4/28/16,10.44
4/29/16,9.98
5/2/16,9.75
5/3/16,9.65
5/4/16,9.48
5/5/16,9.55
5/6/16,9.57
5/9/16,9.66
5/10/16,9.74
5/11/16,9.72
5/12/16,9.51
5/13/16,9.52
5/16/16,9.7
5/17/16,9.73
5/18/16,9.8
5/19/16,9.73
5/20/16,9.94
5/23/16,9.93
5/24/16,10.01
5/25/16,10.06
5/26/16,10.15
5/27/16,10.07
5/31/16,10.23
6/1/16,10.25
6/2/16,10.28
6/3/16,10.17
6/6/16,10.01
6/7/16,10.1
6/8/16,10.18
6/9/16,10.26
6/10/16,9.82
6/13/16,9.71
6/14/16,9.91
6/15/16,10.04
6/16/16,10.31
6/17/16,10.02
6/20/16,10.14
6/21/16,10.09
6/22/16,10.22
6/23/16,10.41
6/24/16,9.78
6/27/16,9.12
6/28/16,9.23
6/29/16,9.44
6/30/16,9.53
7/1/16,9.53
7/5/16,9.37
7/6/16,9.44
7/7/16,9.77
7/8/16,10
7/11/16,10
7/12/16,10.05
7/13/16,10.01
7/14/16,10.09
7/15/16,10
7/18/16,10.08
7/19/16,9.85
7/20/16,11.24
7/21/16,11.28
7/22/16,11.71
7/25/16,11.54
7/26/16,11.64
7/27/16,11.67
7/28/16,11.89
7/29/16,11.75
8/1/16,11.85
8/2/16,11.36
8/3/16,11.3
8/4/16,11.41
8/5/16,11.41
8/8/16,11.41
8/9/16,11.59
8/10/16,11.47
8/11/16,11.42
8/12/16,11.4
8/15/16,11.7
8/16/16,11.54
8/17/16,11.61
8/18/16,11.65
8/19/16,12.15
8/22/16,12.43
8/23/16,12.22
8/24/16,12.11
8/25/16,12.18
8/26/16,12.27
8/29/16,12.3
8/30/16,12.3
8/31/16,12.4
9/1/16,12.87
9/2/16,13.01
9/6/16,12.94
9/7/16,12.63
9/8/16,12.55
9/9/16,12.31
9/12/16,12.54
9/13/16,12.45
9/14/16,12.46
9/15/16,12.57
9/16/16,12.74
9/19/16,12.9
9/20/16,12.59
9/21/16,12.92
9/22/16,12.96
9/23/16,13.01
9/26/16,12.87
9/27/16,13.09
9/28/16,13.17
9/29/16,13.24
9/30/16,13.27
10/3/16,13.02
10/4/16,13.02
10/5/16,13.17
10/6/16,13.18
10/7/16,13.11
10/10/16,13.17
10/11/16,12.83
10/12/16,12.94
10/13/16,13
10/14/16,13
10/17/16,12.87
10/18/16,13.01
10/19/16,12.91
10/20/16,13.05
10/21/16,12.9
10/24/16,13.07
10/25/16,13.16
10/26/16,13.4
10/27/16,13.12
10/28/16,13.1
10/31/16,13.03
11/1/16,12.95
11/2/16,12.94
11/3/16,12.63
11/4/16,12.52
11/7/16,12.85
11/8/16,12.7
11/9/16,12.7
11/10/16,12.49
11/11/16,12.98
11/14/16,13.19
11/15/16,13.43
11/16/16,13.43
11/17/16,13.36
11/18/16,14.8
11/21/16,14.75
11/22/16,14.81
11/23/16,14.69
11/25/16,14.66
11/28/16,14.48
11/29/16,14.38
11/30/16,14.34
12/1/16,13.98
12/2/16,14.02
12/5/16,14.03
12/6/16,14.06
12/7/16,14.37
12/8/16,14.25
12/9/16,14.35
12/12/16,14.17
12/13/16,14.31
12/14/16,14.26
12/15/16,14.49
12/16/16,14.32
12/19/16,14.2
12/20/16,14.34
12/21/16,14.38
12/22/16,14.29
12/23/16,14.32
12/27/16,14.34
12/28/16,14.14
12/29/16,14.11
12/30/16,13.87
1/3/17,14.05
1/4/17,14.24
1/5/17,14.04
1/6/17,14.18
1/9/17,14.37
1/10/17,14.56
1/11/17,14.54
1/12/17,14.42
1/13/17,14.47
1/17/17,14.22
1/18/17,14.21
1/19/17,14.1
1/20/17,14.11
1/23/17,13.95
1/24/17,14.51
1/25/17,15.26
1/26/17,15.12
1/27/17,15.09
1/30/17,14.91
1/31/17,14.87
2/1/17,15.33
2/2/17,15.39
2/3/17,15.72
2/6/17,15.76
2/7/17,15.72
2/8/17,15.68
2/9/17,15.66
2/10/17,15.48
2/13/17,15.68
2/14/17,15.58
2/15/17,15.81
2/16/17,15.79
2/17/17,15.81
2/21/17,16.21
2/22/17,16.28
2/23/17,16.01
2/24/17,16.01
2/27/17,16.02
2/28/17,15.6
3/1/17,15.93
3/2/17,15.85
3/3/17,16.09
3/6/17,16.03
3/7/17,15.94
3/8/17,15.84
3/9/17,15.83
3/10/17,16.39
3/13/17,16.27
3/14/17,16.02
3/15/17,16
3/16/17,16.07
3/17/17,16.12
3/20/17,16.25
3/21/17,15.7
3/22/17,15.85
3/23/17,15.91
3/24/17,15.9
3/27/17,15.73
3/28/17,15.7
3/29/17,15.74
3/30/17,15.61
3/31/17,15.26
4/3/17,15
4/4/17,14.96
4/5/17,14.99
4/6/17,15.1
4/7/17,15.14
4/10/17,15.08
4/11/17,14.85
4/12/17,14.81
4/13/17,14.68
4/17/17,14.83
4/18/17,14.89
4/19/17,14.9
4/20/17,14.94
4/21/17,14.9
4/24/17,15.06
4/25/17,15.49
4/26/17,14.72
4/27/17,15.09
4/28/17,15.02
5/1/17,14.99
5/2/17,14.74
5/3/17,15.11
5/4/17,15.08
5/5/17,15.16
5/8/17,15.14
5/9/17,15.54
5/10/17,15.75
5/11/17,15.71
5/12/17,15.53
5/15/17,16.11
5/16/17,16.25
5/17/17,15.26
5/18/17,15.51
5/19/17,16.01
5/22/17,16.19
5/23/17,16.36
5/24/17,16.78
5/25/17,16.94
5/26/17,17.67
5/30/17,17.37
5/31/17,17.24
6/1/17,17.78
6/2/17,17.59
6/5/17,17.53
6/6/17,17.81
6/7/17,17.72
6/8/17,17.84
6/9/17,17.26
6/12/17,17.45
6/13/17,17.74
6/14/17,17.54
6/15/17,17.41
6/16/17,17.33
6/19/17,17.45
6/20/17,17.52
6/21/17,17.54
6/22/17,17.57
6/23/17,17.67
6/26/17,17.65
6/27/17,16.79
6/28/17,17.13
6/29/17,16.83
6/30/17,16.52
7/3/17,16.09
7/5/17,16.33
7/6/17,16.07
7/7/17,16.13
7/10/17,16.12
7/11/17,16.06
7/12/17,16.37
7/13/17,16.46
7/14/17,16.58
7/17/17,16.26
7/18/17,16.21
7/19/17,16.48
7/20/17,16.48
7/21/17,16.25
7/24/17,16.23
7/25/17,16
7/26/17,16.05
7/27/17,15.87
7/28/17,15.59
7/31/17,15.56
8/1/17,15.77
8/2/17,15.68
8/3/17,15.5
8/4/17,15.55
8/7/17,15.68
8/8/17,15.6
8/9/17,15.5
8/10/17,15.05
8/11/17,15.39
8/14/17,15.55
8/15/17,15.82
8/16/17,15.95
8/17/17,15.55
8/18/17,15.65
8/21/17,15.62
8/22/17,15.92
8/23/17,15.89
8/24/17,15.86
8/25/17,17.05
8/28/17,17.14
8/29/17,17.26
8/30/17,17.76
8/31/17,17.91
9/1/17,17.85
9/5/17,17.84
9/6/17,17.61
9/7/17,17.47
9/8/17,17.25
9/11/17,17.37
9/12/17,17.6
9/13/17,17.82
9/14/17,18.28
9/15/17,18.34
9/18/17,18.43
9/19/17,18.15
9/20/17,18.03
9/21/17,18.03
9/22/17,17.87
9/25/17,17.61
9/26/17,17.65
9/27/17,17.92
9/28/17,17.97
9/29/17,17.9
10/2/17,18.4
10/3/17,18.43
10/4/17,18.51
10/5/17,18.37
10/6/17,18.2
10/9/17,18.45
10/10/17,18.51
10/11/17,18.51
10/12/17,18.29
10/13/17,18.28
10/16/17,18.27
10/17/17,18.36
10/18/17,18.45
10/19/17,18.41
10/20/17,18.41
10/23/17,18.47
10/24/17,18.58
10/25/17,18.39
10/26/17,18.4
10/27/17,18.44
10/30/17,18.23
10/31/17,18.47
11/1/17,18.29
11/2/17,18.28
11/3/17,18.51
11/6/17,20.2
11/7/17,20.13
11/8/17,20.15
11/9/17,20.13
11/10/17,20.13
11/13/17,20.13
11/14/17,20.12
11/15/17,20.07
11/16/17,20.26
11/17/17,20.29
11/20/17,21.59
11/21/17,23.28
11/22/17,23.83
11/24/17,23.8
11/27/17,23.38
11/28/17,23.27
11/29/17,22.21
11/30/17,22.34
12/1/17,22.18
12/4/17,22.3
12/5/17,21.97
12/6/17,21.82
12/7/17,22
12/8/17,22.04
12/11/17,22.05
12/12/17,22.19
12/13/17,21.83
12/14/17,21.65
12/15/17,21.62
12/18/17,22.16
12/19/17,22.37
12/20/17,22.31
12/21/17,22.05
12/22/17,22.01
12/26/17,21.84
12/27/17,22.05
12/28/17,21.89
12/29/17,21.47
1/2/18,22.2
1/3/18,22.89
1/4/18,23.41
1/5/18,23
1/8/18,23.17
1/9/18,23.15
1/10/18,23.14
1/11/18,23.15
1/12/18,23.84
1/16/18,23.58
1/17/18,23.59
1/18/18,23.69
1/19/18,23.68
1/22/18,23.62
1/23/18,23.53
1/24/18,23.29
1/25/18,23.01
1/26/18,23.39
