Date,Close
11/15/19,26.79
11/18/19,26.75
11/19/19,27.05
11/20/19,28.03
11/21/19,29.46
11/22/19,29.56
11/25/19,29.11
11/26/19,29.53
11/27/19,29.49
11/29/19,29.6
12/2/19,28.98
12/3/19,29.02
12/4/19,29.06
12/5/19,28.65
12/6/19,27.86
12/9/19,27.68
12/10/19,27.89
12/11/19,28.42
12/12/19,28.69
12/13/19,28.49
12/16/19,30.05
12/17/19,29.75
12/18/19,30.13
12/19/19,29.99
12/20/19,30.45
12/23/19,30.33
12/24/19,30.44
12/26/19,30.67
12/27/19,30.17
12/30/19,29.74
12/31/19,29.74
1/2/20,30.99
1/3/20,31.37
1/6/20,31.58
1/7/20,32.81
1/8/20,33.93
1/9/20,33.97
1/10/20,34.01
1/13/20,34.14
1/14/20,34.84
1/15/20,35.01
1/16/20,34.68
1/17/20,35.13
1/21/20,37.6
1/22/20,37.04
1/23/20,37.4
1/24/20,36.8
1/27/20,36.3
1/28/20,37.01
1/29/20,36.99
1/30/20,36.68
1/31/20,36.29
2/3/20,37.59
2/4/20,38.53
2/5/20,36.81
2/6/20,37.09
2/7/20,40.63
2/10/20,40.01
2/11/20,41.27
2/12/20,41.25
2/13/20,40.09
2/14/20,39.66
2/18/20,40.18
2/19/20,41.05
2/20/20,40.92
2/21/20,40.72
2/24/20,38.31
2/25/20,35.89
2/26/20,34.45
2/27/20,32.45
2/28/20,33.87
3/2/20,32.85
3/3/20,33.04
3/4/20,34.53
3/5/20,32.21
3/6/20,31.68
3/9/20,28.17
3/10/20,28.97
3/11/20,26.24
3/12/20,22.61
3/13/20,22.6
3/16/20,20.29
3/17/20,18.91
3/18/20,14.82
3/19/20,20.49
3/20/20,21.33
3/23/20,22.4
3/24/20,26.39
3/25/20,26.19
3/26/20,28.12
3/27/20,27.28
3/30/20,27.83
3/31/20,27.92
4/1/20,25.42
4/2/20,23.68
4/3/20,22.82
4/6/20,25.99
4/7/20,25.74
4/8/20,26.94
4/9/20,27.11
4/13/20,27.99
4/14/20,27.75
4/15/20,27.41
4/16/20,27.03
4/17/20,28
4/20/20,28.19
4/21/20,27.19
4/22/20,28.24
4/23/20,28.33
4/24/20,29.49
4/27/20,30.08
4/28/20,30.12
4/29/20,31.37
4/30/20,30.27
5/1/20,28.39
5/4/20,27.42
5/5/20,28.07
5/6/20,27.82
5/7/20,30.93
5/8/20,32.79
5/11/20,31.64
5/12/20,32.4
5/13/20,33.02
5/14/20,32.79
5/15/20,32.47
5/18/20,33.62
5/19/20,33.4
5/20/20,34.48
5/21/20,34.26
5/22/20,34.83
5/26/20,34.56
