Date,Close
3/17/15,33.41
3/23/15,35.85
3/24/15,36.92
4/2/15,36.42
4/10/15,36.69
5/5/15,33.77
5/11/15,32.6
5/13/15,31.24
5/14/15,31.43
5/15/15,32.99
5/19/15,33.32
5/26/15,31.98
5/29/15,32.12
6/3/15,31.69
7/10/15,34.11
7/20/15,35.17
8/3/15,30.58
8/11/15,27.5
8/13/15,26.55
8/17/15,27
8/24/15,24.3
8/26/15,23.99
8/27/15,24.92
9/1/15,24.51
9/11/15,24.29
9/22/15,25.5
9/30/15,24.84
10/19/15,31.77
10/20/15,31.46
10/23/15,31.4
11/6/15,28.1
11/13/15,28.79
12/3/15,31.25
12/7/15,30.82
12/29/15,30.86
1/7/16,26.51
1/13/16,25.75
1/19/16,24.16
2/12/16,19.92
3/1/16,23.5
3/7/16,23.58
3/11/16,21.33
3/17/16,22.52
4/1/16,22.33
4/14/16,22
4/18/16,21.9
4/25/16,21.78
4/27/16,22.04
5/25/16,22.84
6/6/16,24.76
6/7/16,24.4
6/8/16,24.5
6/9/16,24.71
6/10/16,23.48
6/14/16,22.47
6/20/16,22.17
6/21/16,22.6
6/22/16,22.91
6/23/16,22.83
6/24/16,21.65
6/27/16,19.83
6/28/16,21.3
6/29/16,21.44
6/30/16,22.05
7/5/16,22.1
7/6/16,22.21
7/7/16,22.71
7/8/16,23.2
7/11/16,24.06
7/12/16,24.4
7/13/16,23.57
7/14/16,24.84
7/15/16,23.58
7/18/16,23.97
7/19/16,24.1
7/20/16,24.2
7/21/16,24.35
7/27/16,24.12
7/28/16,22.65
7/29/16,23.69
8/3/16,24.5
8/15/16,22.7
8/26/16,22
9/6/16,21.8
10/25/16,21.8
10/26/16,21.8
11/11/16,17.75
11/14/16,18
11/16/16,16.8
11/21/16,17
11/22/16,17.03
11/23/16,17
11/28/16,17
11/29/16,17
12/1/16,17
12/6/16,17.1
12/23/16,17.5
2/14/17,17.5
3/2/17,14.2
3/3/17,16
3/6/17,16.2
3/10/17,14.31
3/16/17,14.31
3/21/17,13.5
3/23/17,13.7
3/24/17,13.85
3/28/17,13.9
4/4/17,13.65
4/5/17,13.4
4/18/17,13.4
4/20/17,14.3
5/2/17,15.7
5/10/17,15.85
5/11/17,15.6
5/22/17,13.7
5/23/17,13.75
5/30/17,12.05
6/7/17,12.05
6/9/17,12.05
6/12/17,11.31
7/12/17,12.4
7/13/17,11.45
7/28/17,13.1
7/31/17,12.03
8/1/17,12
8/2/17,12
8/4/17,12.05
8/8/17,12.26
8/9/17,12.55
8/10/17,12.6
8/21/17,12.75
8/23/17,12.8
8/24/17,13.75
8/25/17,13.5
9/19/17,14
9/25/17,13.9
9/26/17,13.9
10/2/17,13.9
10/4/17,13.9
10/11/17,13.9
10/25/17,13
11/6/17,13.8
11/7/17,11.6
12/18/17,9.95
12/20/17,9.85
12/27/17,9.4
12/28/17,9.4
1/3/18,9.95
1/4/18,9.5
1/8/18,10
1/9/18,9
1/10/18,10.25
1/12/18,12.42
1/16/18,12.4
1/30/18,9.05
2/2/18,9
2/6/18,11
2/7/18,11
2/8/18,11
2/15/18,12.35
2/20/18,11.2
2/26/18,10.95
4/25/18,10.75
4/27/18,9.75
5/7/18,9.4
5/9/18,11.75
5/10/18,12.95
5/11/18,12.4
5/23/18,14
5/30/18,14.11
6/1/18,17.05
6/4/18,17
6/6/18,16.45
6/15/18,16.75
6/26/18,16.25
7/2/18,16.25
7/3/18,16.4
7/5/18,16.7
7/12/18,17.45
7/19/18,17.76
7/24/18,17.85
8/2/18,13.9
8/6/18,15.65
8/9/18,15.75
8/20/18,15.45
8/27/18,15.4
9/11/18,14.4
11/1/18,14.75
11/2/18,14.85
11/8/18,20.39
11/9/18,19.12
11/13/18,18.7
11/16/18,18.7
12/13/18,18.93
1/3/19,15.32
1/15/19,17.1
2/5/19,18.29
2/12/19,17.86
2/15/19,16.63
2/19/19,16.44
2/20/19,16.75
3/6/19,14.95
3/29/19,14.35
4/12/19,14.71
4/22/19,14.37
5/14/19,12.49
7/19/19,12.92
7/22/19,12.41
7/31/19,12
8/13/19,10.5
8/20/19,9.75
8/29/19,9.17
10/9/19,8.71
10/16/19,9.24
10/29/19,9.47
11/8/19,7.61
11/13/19,6.82
11/14/19,6.75
11/15/19,6.75
11/19/19,6.95
11/22/19,6.8
11/25/19,7
11/27/19,7.29
12/2/19,6.8
12/3/19,6.8
12/6/19,7.11
12/11/19,7.11
12/18/19,7.36
12/19/19,7.48
12/26/19,7.16
12/27/19,7.2
12/31/19,7.25
1/3/20,7.07
1/6/20,7.35
1/8/20,7.55
1/9/20,7.55
1/10/20,7.49
1/13/20,7.81
1/14/20,8.06
1/15/20,8.2
1/16/20,8.39
1/21/20,7.98
1/22/20,7.95
1/23/20,9.02
1/24/20,8.05
1/27/20,6.99
2/11/20,7.1
2/18/20,7.49
2/24/20,6.67
2/25/20,6.67
3/5/20,5.1
3/6/20,4.88
3/9/20,4.5
3/10/20,3.85
3/12/20,3.08
3/13/20,2.9
3/16/20,2.8
3/19/20,3
3/20/20,3.03
3/23/20,3.19
3/25/20,4.26
3/26/20,4.44
4/2/20,3.67
4/3/20,4.01
4/7/20,4.32
4/8/20,4.05
4/9/20,4.58
4/13/20,3.81
4/14/20,4.76
4/15/20,34.69
4/16/20,59
4/17/20,47.83
4/20/20,37.16
4/21/20,38.9
4/22/20,33.09
4/23/20,27.11
4/24/20,37.57
4/27/20,41.25
4/28/20,39.51
4/29/20,36.26
4/30/20,37.01
5/1/20,36.58
5/4/20,34.88
5/5/20,34.99
5/6/20,36
5/7/20,35.18
5/8/20,35
5/11/20,34.98
5/12/20,33.21
5/13/20,31.57
5/14/20,30.21
5/15/20,30.02
5/18/20,31.65
5/19/20,29.99
5/20/20,29.2
5/21/20,28.23
5/22/20,26.2
5/26/20,27
5/27/20,25.17
5/28/20,24.69
5/29/20,24.45
6/1/20,23.64
6/2/20,22.37
6/3/20,23.2
6/4/20,21
6/5/20,21.7
6/8/20,26.49
6/9/20,41.52
6/10/20,63
6/11/20,43.92
6/12/20,57.79
6/15/20,58.48
6/16/20,57.99
6/17/20,53.66
6/18/20,53
6/19/20,50.43
6/22/20,46.25
6/23/20,48
6/24/20,48.5
6/25/20,45.35
6/26/20,41.25
6/29/20,42
6/30/20,44.72
7/1/20,40.99
7/2/20,42.21
7/6/20,40.81
7/7/20,42
7/8/20,39.81
7/9/20,40
7/10/20,39.99
7/13/20,39
7/14/20,38.99
7/15/20,47
